ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
NEUTRAL	POSITIVE	sorry about the wait	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 8=1.0, 9=2.0, 11=1.5166458513289722, 12=3.0, 13=0.5758842850619234, 15=1.0, 16=2.0, 17=1.0, 18=1.937893789378938, 19=4.0, 20=0.5568556855685569, 21=0.37613761376137617, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 380=0.6789633725236234, 386=0.7341721451889518}	
NEUTRAL	POSITIVE	кугуар	{15=4.0, 18=2.6677667766776683, 19=4.0, 20=0.683968396839684}	
NEUTRAL	POSITIVE	@Nophera just changed it 10 mins ago otaPoint	{8=2.0, 9=4.0, 11=3.3031795199084493, 12=6.0, 13=0.6320526857287477, 16=6.0, 18=2.9204920492049204, 19=6.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 745=1.0}	
NEUTRAL	POSITIVE	!waffle	{8=1.0, 10=1.0, 11=1.0095677195376247, 12=2.0, 13=0.740004511518126, 14=0.2695632080194986, 16=2.0, 18=0.9725972597259727, 19=2.0, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 1472=1.0}	
NEUTRAL	POSITIVE	lille sava te changer demain	{8=2.0, 9=2.0, 11=2.3781807578250085, 12=4.0, 13=0.7166326468856771, 15=2.0, 16=2.0, 18=2.239023902390239, 19=4.0, 20=0.5964596459645964, 391=0.6228124439683924, 1035=0.7823711776632098}	
NEUTRAL	NEGATIVE	!ts	{9=1.0, 11=0.47042479794450837, 12=1.0, 16=1.0, 17=1.0, 18=0.8723872387238725, 19=2.0, 21=0.33543354335433545, 255=0.6360768909267054, 467=0.7716256792182438}	
NEUTRAL	POSITIVE	That your dad?	{8=1.0, 11=0.8087996610859555, 12=1.0, 13=0.8087996610859555, 15=1.0, 16=2.0, 18=1.5320532053205322, 19=3.0, 20=0.5804580458045805, 729=1.0}	
NEUTRAL	POSITIVE	!decks	{15=1.0, 18=0.5654565456545655, 19=1.0, 20=0.5654565456545655, 610=1.0}	
NEUTRAL	NEGATIVE	Froggen we want stream :S	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=2.0, 11=1.427807457209351, 12=2.0, 13=0.7757940546994064, 16=3.0, 17=1.0, 18=1.85988598859886, 19=4.0, 21=0.41614161416141615, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 38=1.0, 40=1.0, 42=0.0, 45=1.0, 47=1.0, 49=0.0, 135=1.0}	
NEUTRAL	POSITIVE	Good evening everyone	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=2.0, 11=1.7139092304560486, 12=2.0, 13=0.911970378032208, 15=3.0, 18=1.6969696969696972, 19=3.0, 20=0.5824582458245825, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7}	
NEUTRAL	POSITIVE	can I whisper you a song raven?	{8=3.0, 9=3.0, 11=3.8314342776344246, 12=6.0, 13=0.8706679797751944, 15=3.0, 16=4.0, 18=3.7574757475747576, 19=7.0, 20=0.6023602360236024, 495=1.0}	
NEUTRAL	POSITIVE	yo yoji is it just me or you not streaming as much anymore?	{8=3.0, 9=6.0, 10=2.0, 11=5.459899756267985, 12=11.0, 13=0.6205868274674429, 14=0.2654643287466233, 15=1.0, 16=10.0, 17=2.0, 18=6.270627062706271, 19=13.0, 20=0.5675567556755676, 21=0.35753575357535755, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 649=0.6739160366960442, 1193=0.738807942217662}	
NEUTRAL	POSITIVE	I am a grill and i sing I Dreamed a Dream!!!	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=3.0, 9=6.0, 10=1.0, 11=5.9405029792525195, 12=10.0, 13=0.8583053197400926, 14=0.3584731262069687, 15=1.0, 16=10.0, 18=5.41934193419342, 19=11.0, 20=0.5566556655665567, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 351=0.738807942217662, 1061=0.6739160366960442}	
NEUTRAL	NEGATIVE	nathan and his wife aged like nothing but sully is like 104 years old now	{1=2.0, 4=1.4, 5=2.0, 6=0.7, 8=4.0, 9=4.0, 10=2.0, 11=5.684083694163086, 12=10.0, 13=0.8500525426806121, 14=0.2654643287466233, 16=13.0, 17=2.0, 18=7.314531453145316, 19=15.0, 21=0.42764276427642767, 22=2.0, 24=1.0, 25=2.0, 26=3.0, 27=1.0, 28=0.0, 29=2.0, 31=1.0, 32=2.0, 33=3.0, 34=1.0, 35=0.0, 50=2.0, 53=1.4, 54=2.0, 55=0.7}	
NEUTRAL	POSITIVE	The queue has been closed! You can no longer enter!	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 8=3.0, 9=1.0, 10=2.0, 11=3.1172114416501153, 12=6.0, 13=0.7083688661234506, 14=0.3117734117530549, 15=1.0, 16=4.0, 17=5.0, 18=4.617661766176618, 19=10.0, 20=0.5675567556755676, 21=0.34503450345034503, 637=0.5035863867261972, 749=0.6109012813475074, 1563=0.6109012813475074}	
NEUTRAL	NEGATIVE	@NinjaMicWZ damnit youre ahead of me then	{3=1.0, 4=0.1, 5=1.0, 7=0.1, 8=1.0, 9=2.0, 11=1.6143972446728325, 12=3.0, 13=0.5855510379242616, 15=1.0, 16=4.0, 17=1.0, 18=2.897589758975898, 19=6.0, 20=0.5532553255325533, 21=0.3000300030003, 1045=1.0}	
NEUTRAL	NEGATIVE	only against the rules for competing	{8=1.0, 11=0.5558960590238616, 12=1.0, 13=0.5558960590238616, 15=1.0, 16=5.0, 18=3.042704270427043, 19=6.0, 20=0.5726572657265727, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
NEUTRAL	POSITIVE	yo	{8=1.0, 10=1.0, 11=0.8830746546212801, 12=2.0, 13=0.6176103258746568, 14=0.2654643287466233, 16=2.0, 18=0.9690969096909692, 19=2.0}	
NEUTRAL	POSITIVE	NEXT WAVE #15: SHROOMS (BURROWING). Weak against: Alchemists	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 8=1.0, 9=2.0, 10=1.0, 11=1.957278124088756, 12=4.0, 13=0.6960227116424678, 14=0.2324092056977173, 15=2.0, 16=3.0, 17=1.0, 18=3.010401040104011, 19=6.0, 20=0.5773577357735774, 21=0.4099409940994099, 24=1.0, 26=1.0, 28=0.0, 31=2.0, 33=2.0, 35=0.0, 52=2.0, 53=0.6, 54=2.0, 56=0.3}	
NEUTRAL	NEGATIVE	so gunner, my obs can detect the game sound, but not the video? is it cause this particular computer doesn't have pinnacle installed?	{8=7.0, 9=7.0, 10=2.0, 11=9.183200647017722, 12=16.0, 13=0.767513768383061, 14=0.3002635386807661, 16=17.0, 17=6.0, 18=11.036903690369039, 19=23.0, 21=0.41324132413241327, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=2.0, 30=2.0, 31=1.0, 32=3.0, 33=5.0, 34=1.0, 35=0.0, 209=0.2917479346765131, 543=0.474998228534508, 636=0.4088725786657636, 751=0.4088725786657636, 951=0.4088725786657636, 1190=0.43327758855806864}	
NEUTRAL	POSITIVE	Climb a tree	{8=2.0, 9=1.0, 11=2.0075485400837385, 12=3.0, 13=0.8706844853293135, 15=1.0, 16=2.0, 18=1.6062606260626064, 19=3.0, 20=0.5844584458445845}	
NEUTRAL	NEGATIVE	SOL OMGScoots	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=1.0, 11=0.7524166882155847, 12=1.0, 13=0.7524166882155847, 15=1.0, 16=1.0, 17=1.0, 18=1.3538353835383539, 19=3.0, 20=0.5626562656265627, 21=0.33543354335433545, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8, 467=0.738807942217662, 524=0.6739160366960442}	
NEUTRAL	POSITIVE	Just inject heroin instead, that's not on the contact is it?	{8=3.0, 9=3.0, 10=3.0, 11=4.1317143218693095, 12=9.0, 13=0.6753687615882745, 14=0.20356299894914642, 15=1.0, 16=10.0, 17=1.0, 18=5.897289728972898, 19=12.0, 20=0.555955595559556, 21=0.42464246424642466, 29=1.0, 32=1.0, 33=1.0, 34=1.0}	
NEUTRAL	POSITIVE	Dino you can come to my house anytime you want	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=4.0, 11=2.7785449803859, 12=4.0, 13=0.8156659715994433, 15=4.0, 16=5.0, 17=1.0, 18=5.183418341834184, 19=10.0, 20=0.5874587458745875, 21=0.41614161416141615, 29=1.0, 32=1.0, 33=1.0, 34=1.0}	
NEUTRAL	NEGATIVE	but it's been 7k enoucnters for it	{9=4.0, 11=2.057692413497142, 12=4.0, 15=1.0, 16=5.0, 17=1.0, 18=3.5029502950295024, 19=7.0, 20=0.5741574157415742, 21=0.44904490449044904}	
NEUTRAL	POSITIVE	ANAL THEN ORAL FOR TASTE SeemsGood	{8=1.0, 9=2.0, 10=1.0, 11=2.1374802621081996, 12=4.0, 13=0.738662059783117, 14=0.37687681904961023, 15=1.0, 16=3.0, 17=1.0, 18=2.5559555955595563, 19=5.0, 20=0.5576557655765577, 21=0.4211421142114211, 30=1.0, 32=0.5, 33=1.0, 43=1.0, 46=0.75, 47=1.0, 48=0.75, 333=1.0}	
NEUTRAL	POSITIVE	or "tonight" mobb deep and biggie	{8=1.0, 9=2.0, 11=1.6038006789284598, 12=3.0, 13=0.5749544721798886, 15=1.0, 16=3.0, 18=2.0988098809880986, 19=4.0, 20=0.5617561756175619, 31=1.0, 33=1.0, 35=0.0, 1350=0.7071067811865476, 1591=0.7071067811865476}	
NEUTRAL	NEGATIVE	SHOTS PJsalt	{16=1.0, 18=0.474047404740474, 19=1.0, 45=1.0, 47=1.0, 49=0.0, 1254=0.7071067811865476, 1523=0.7071067811865476}	
NEUTRAL	POSITIVE	Solo Nazgul currently has uploaded !muriel, !gadget, !howitzer, !gideon	{8=2.0, 9=2.0, 11=2.284654786335602, 12=4.0, 13=0.63959022210974, 15=3.0, 16=2.0, 17=1.0, 18=3.203820382038204, 19=6.0, 20=0.5856585658565857, 21=0.44894489448944896, 608=0.738807942217662, 1590=0.6739160366960442}	
NEUTRAL	POSITIVE	I always choose to use that pronunciation of giga	{8=2.0, 9=3.0, 11=2.9173346831208704, 12=5.0, 13=0.6795226593748797, 15=1.0, 16=7.0, 18=4.144714471447145, 19=8.0, 20=0.6146614661466148}	
NEUTRAL	POSITIVE	I didn't see any fire personally	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 8=1.0, 9=4.0, 10=1.0, 11=3.1677129354027636, 12=6.0, 13=0.689128891872115, 14=0.4208916300335063, 15=1.0, 16=5.0, 17=1.0, 18=3.4005400540054005, 19=7.0, 20=0.5791579157915792, 21=0.37173717371737175, 151=0.5735361352397104, 798=0.5492470533205895, 1422=0.6077696734725632}	
NEUTRAL	POSITIVE	LET'S DO ICE WALL INSTEAD OF AUTOATTACK 4Head	{8=3.0, 9=3.0, 11=3.3795892317764937, 12=6.0, 13=0.6602551758666793, 16=7.0, 18=3.4855485548554856, 19=7.0, 45=1.0, 46=0.25, 47=1.0, 49=0.25, 346=0.7716256792182438, 589=0.6360768909267054}	
NEGATIVE	POSITIVE	AY Lets get reformed up in this bitch	{3=1.0, 5=1.0, 7=0.0, 8=2.0, 9=2.0, 10=1.0, 11=2.444384535396161, 12=5.0, 13=0.6643650588423005, 14=0.17741820122471214, 15=2.0, 16=6.0, 18=4.4986498649865, 19=8.0, 20=1.0, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 1058=1.0}	
NEGATIVE	POSITIVE	SourPls NO MODS SourPls NO MODS SourPls NO MODS SourPls NO MODS SourPls NO MODS SourPls NO MODS SourPls NO MODS SourPls NO MODS SourPls	{3=8.0, 4=3.1999999999999997, 5=8.0, 7=0.4, 9=8.0, 10=8.0, 11=6.609572121018726, 12=16.0, 14=0.3117734117530549, 16=8.0, 17=8.0, 18=7.123112311231125, 19=16.0, 21=0.4173417341734174, 273=0.5564481095971658, 1354=0.8308823631090869}	
NEGATIVE	NEUTRAL	mistakes were made	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 8=1.0, 11=0.5856500712489753, 12=1.0, 13=0.5856500712489753, 16=3.0, 18=1.505750575057506, 19=3.0, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 1141=1.0}	
NEGATIVE	NEUTRAL	omg	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=1.0, 9=1.0, 11=1.1526598700462707, 12=2.0, 13=0.6382367666719851, 16=3.0, 18=1.4561456145614562, 19=3.0, 30=1.0, 32=0.5, 33=1.0, 111=0.7117658781211471, 175=0.7024167813644776}	
NEGATIVE	NEUTRAL	u wot m8	{8=1.0, 11=0.7606474578695732, 12=1.0, 13=0.7606474578695732, 15=1.0, 16=2.0, 18=1.5896589658965898, 19=3.0, 20=0.5675567556755676, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 542=1.0}	
NEGATIVE	POSITIVE	NAVI FANSHIT BrokeBack THINKING THEIR TIER 3 TEAM STILL RELEVANT IN 2016 BrokeBack	{8=3.0, 9=4.0, 11=3.8872890727729885, 12=7.0, 13=0.639606727663859, 15=1.0, 16=8.0, 17=1.0, 18=4.9804980498049805, 19=10.0, 20=0.5761576157615762, 21=0.4335433543354336, 29=1.0, 30=2.0, 32=2.0, 33=3.0, 34=1.0, 45=2.0, 46=0.75, 47=2.0, 49=0.375, 136=0.26092270579484356, 391=0.2983701967515094, 1221=0.37480985563597513, 1297=0.7496197112719503, 1462=0.37480985563597513}	
NEGATIVE	NEUTRAL	i hate spicy food	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 8=2.0, 9=1.0, 10=1.0, 11=2.167767953916493, 12=4.0, 13=0.8610672491293321, 14=0.09627689717589974, 16=3.0, 17=1.0, 18=1.7922792279227924, 19=4.0, 21=0.31483148314831483, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.1, 54=1.0, 56=0.1, 538=1.0}	
NEGATIVE	POSITIVE	Go learn your history twitchtards MingLee	{8=3.0, 11=2.1168868324191092, 12=3.0, 13=0.7688837293749347, 15=1.0, 16=3.0, 18=2.026802680268027, 19=4.0, 20=0.5804580458045805, 30=1.0, 32=0.5, 33=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 301=1.0}	
NEGATIVE	NEUTRAL	tht guy is a fat ***	{8=1.0, 9=1.0, 10=1.0, 11=1.4683120870172814, 12=3.0, 13=0.7276418514830241, 14=0.2035354896922815, 16=5.0, 18=2.460746074607461, 19=5.0, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 335=0.6017471831252452, 368=0.7986866266570593}	
NEGATIVE	NEUTRAL	Gordon hayward is a ginger you canadian fuck	{3=1.0, 4=0.1, 5=1.0, 7=0.1, 8=1.0, 9=3.0, 11=2.2207837937465955, 12=4.0, 13=0.6231231809503899, 15=2.0, 16=5.0, 17=1.0, 18=4.050205020502051, 19=8.0, 20=0.5675567556755676, 21=0.41514151415141515, 24=1.0, 26=1.0, 28=0.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2, 98=0.577958059757152, 1126=0.8160664685929377}	
