TEXT	ACTUAL-CLASS	PREDICTED-CLASS	FeatureVector
7BAD	NEGATIVE	NEUTRAL	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 16=1.0, 17=1.0, 18=0.7867152296747857, 19=2.0, 21=0.27229212630050015, 23=1.0, 24=1.0, 25=0.8391839183918393, 26=2.0, 28=0.37023702370237027, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
The artstyle block , the opposite of puppey block xD	POSITIVE	NEUTRAL	{3=2.0, 4=0.8, 5=2.0, 7=0.4, 16=1.0, 17=2.0, 18=1.3685085031112971, 19=3.0, 21=0.44287152626858944, 22=1.0, 23=6.0, 25=3.521952195219522, 26=7.0, 27=0.5725572557255726, 38=2.0, 40=2.0, 42=0.0, 52=2.0, 53=0.6, 54=2.0, 56=0.3}	
RON SO FAT	NEGATIVE	NEUTRAL	{16=2.0, 17=1.0, 18=1.2323816964408525, 19=3.0, 21=0.2035354896922815, 22=1.0, 23=2.0, 25=1.4877487748774878, 26=3.0, 27=0.562956295629563, 31=1.0, 33=1.0, 35=0.0, 37=1.0, 38=1.0, 39=0.5, 40=2.0, 42=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
KID VOICE	NEGATIVE	NEUTRAL	{15=2.0, 18=1.5419488657933398, 19=2.0, 20=0.8211843285265493, 23=2.0, 25=1.004900490049005, 26=2.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0}	
SHEEVER so hott jesus	POSITIVE	NEUTRAL	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 15=1.0, 16=2.0, 18=1.6437056069367344, 19=3.0, 20=0.6148594001881633, 22=1.0, 23=2.0, 25=1.5120512051205122, 26=3.0, 27=0.5516551655165517, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 36=1.0, 37=1.0, 39=1.5, 40=2.0, 41=1.0}	
SHEEVER SEXY SLACK Kreygasm	POSITIVE	NEUTRAL	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 15=1.0, 17=1.0, 18=1.2035629989491465, 19=2.0, 20=0.8473346281023566, 21=0.35622837084678993, 22=1.0, 24=1.0, 25=1.0357035703570359, 26=2.0, 27=0.5907590759075908, 28=0.444944494449445, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 36=1.0, 38=1.0, 39=1.0, 40=2.0, 41=1.0, 42=0.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8}	
Show me your WAND SwiftRage	NEGATIVE	NEUTRAL	{15=2.0, 16=1.0, 18=1.7262113701260478, 19=3.0, 20=0.63959022210974, 22=1.0, 23=3.0, 25=2.0504050405040504, 26=4.0, 27=0.5804580458045805, 37=1.0, 39=0.5, 40=1.0, 45=1.0, 47=1.0, 49=0.0}	
oh stfu Sheever you giant lesbian	NEGATIVE	NEUTRAL	{15=2.0, 16=2.0, 17=1.0, 18=2.6642825310717058, 19=5.0, 20=0.6189582794610387, 21=0.44562245195508293, 22=1.0, 23=6.0, 24=1.0, 25=3.916491649164917, 26=8.0, 27=0.5675567556755676, 28=0.39793979397939794, 31=1.0, 33=1.0, 35=0.0, 37=2.0, 39=1.0, 40=2.0}	
Magic Kappa	POSITIVE	NEUTRAL	{15=2.0, 18=1.4167652415037661, 19=2.0, 20=0.8129370533184417, 23=2.0, 25=1.062706270627063, 26=2.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0}	
Sheever lost some weight, nice :)	POSITIVE	NEUTRAL	{1=1.0, 3=1.0, 4=1.0, 5=2.0, 6=0.8, 7=0.2, 8=1.0, 11=1.0, 12=1.0, 13=1.0, 15=2.0, 17=2.0, 18=1.8731218054875467, 19=4.0, 20=0.7826658670642671, 21=0.17467827924096463, 22=1.0, 23=2.0, 24=1.0, 25=1.9382938293829384, 26=4.0, 27=0.5973597359735974, 28=0.34463446344634463, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 36=1.0, 38=1.0, 39=1.0, 40=2.0, 41=1.0, 42=0.0, 50=1.0, 52=1.0, 53=1.1, 54=2.0, 55=0.7, 56=0.4}	
Will Sheever ever shut the *** up?	NEGATIVE	NEUTRAL	{15=1.0, 16=2.0, 17=1.0, 18=2.0329065730618354, 19=4.0, 20=0.5584379143581816, 21=0.44562245195508293, 23=5.0, 25=2.4834483448344837, 26=5.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0}	
Sheever looks like a man	NEGATIVE	NEUTRAL	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 15=2.0, 16=1.0, 18=1.959429347975594, 19=3.0, 20=0.8500525426806121, 23=4.0, 25=1.9844984498449847, 26=4.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7}	
POTTER BrokeBack	NEUTRAL	NEGATIVE	{16=1.0, 18=0.5144231033742855, 19=1.0, 22=1.0, 23=1.0, 25=1.0781078107810782, 26=2.0, 27=0.5732573257325733, 45=1.0, 47=1.0, 49=0.0}	
WutFace WEEBS IN CHAT WutFace	NEGATIVE	NEUTRAL	{15=1.0, 16=1.0, 18=1.1320389311003154, 19=2.0, 20=0.6176158277260299, 23=2.0, 25=1.0192019201920193, 26=2.0, 45=2.0, 47=2.0, 49=0.0}	
i lost all of my money donating to Russian girls streaming dota 2 BibleThump	NEGATIVE	NEUTRAL	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 15=2.0, 16=4.0, 17=1.0, 18=3.669685349119979, 19=7.0, 20=0.8033143152670874, 21=0.17467827924096463, 22=1.0, 23=11.0, 24=1.0, 25=6.2776277627762775, 26=13.0, 27=0.5616561656165617, 28=0.34463446344634463, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 45=1.0, 47=1.0, 49=0.0, 52=1.0, 53=0.4, 54=1.0, 56=0.4}	
Sheever Kreygasm i just fap	POSITIVE	NEUTRAL	{15=2.0, 16=1.0, 18=1.7317187233504074, 19=3.0, 20=0.6134344206825597, 23=2.0, 25=0.9612961296129614, 26=2.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0}	
WHY DIG LOST = 1/ ERA IS *** LUL	NEGATIVE	NEUTRAL	{1=1.0, 3=1.0, 4=1.0, 5=2.0, 6=0.8, 7=0.2, 15=4.0, 16=2.0, 17=1.0, 18=3.8392248991785745, 19=7.0, 20=0.9270894656051761, 21=0.17467827924096463, 22=3.0, 23=4.0, 24=2.0, 25=4.528852885288529, 26=9.0, 27=0.6082608260826083, 28=0.34463446344634463, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 36=2.0, 38=1.0, 39=2.0, 40=3.0, 41=1.0, 42=0.0, 50=1.0, 52=1.0, 53=1.2000000000000002, 54=2.0, 55=0.8, 56=0.4}	
PUTIN POTER PogChamp	NEUTRAL	NEGATIVE	{16=1.0, 18=0.5144231033742855, 19=1.0}	
I signed up twitch just to say this: I HATE THE *** MUG FACE OF SLACK	NEGATIVE	NEUTRAL	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 15=3.0, 16=4.0, 17=4.0, 18=5.276242455586306, 19=11.0, 20=0.7014915519072168, 21=0.09627689717589974, 23=12.0, 24=3.0, 25=7.136713671367136, 26=15.0, 28=0.31483148314831483, 31=2.0, 33=2.0, 35=0.0, 36=1.0, 38=2.0, 39=1.0, 40=3.0, 41=1.0, 42=0.0, 52=2.0, 53=0.5, 54=2.0, 56=0.1}	
danSgame DansGame	NEGATIVE	NEUTRAL	{45=2.0, 47=2.0, 49=0.0}	
SHEEVER OLD GRILL Kreygasm	POSITIVE	NEUTRAL	{15=1.0, 17=1.0, 18=1.0054853458188682, 19=2.0, 20=0.7400210170722449, 21=0.2654643287466233, 23=2.0, 25=1.039003900390039, 26=2.0, 38=1.0, 40=1.0, 42=0.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0}	
NAVI IS BLACK TriHard	POSITIVE	NEUTRAL	{15=1.0, 18=0.5694471189555286, 19=1.0, 20=0.5694471189555286, 23=2.0, 25=1.0044004400440043, 26=2.0, 38=1.0, 40=1.0, 42=0.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0}	
Shes beautiful	POSITIVE	NEUTRAL	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 15=1.0, 18=0.8734299091644339, 19=1.0, 20=0.8734299091644339, 22=1.0, 23=1.0, 25=1.0950095009500953, 26=2.0, 27=0.604860486048605, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0}	
4Head artsyle finds a way	POSITIVE	NEUTRAL	{15=1.0, 16=1.0, 18=1.1767524772085807, 19=2.0, 20=0.6396177313666048, 23=3.0, 25=1.5186518651865188, 26=3.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0}	
Slacks gtfo	NEGATIVE	NEUTRAL	{15=1.0, 16=2.0, 18=1.6932112655908713, 19=3.0, 20=0.6643650588423005, 23=4.0, 24=1.0, 25=2.4105410541054106, 26=5.0, 28=0.39793979397939794, 31=1.0, 33=1.0, 35=0.0}	
SLACKS IS *** WANNABE	NEGATIVE	NEUTRAL	{16=1.0, 17=1.0, 18=0.7881126999235244, 19=2.0, 21=0.27368959654923886, 23=3.0, 25=1.5343534353435344, 26=3.0}	
THIS PANEL IS SO SHIEEEEEET	NEGATIVE	NEUTRAL	{16=2.0, 18=1.0026794016186447, 19=2.0, 23=4.0, 24=1.0, 25=2.2697269726972698, 26=5.0, 28=0.33543354335433545, 37=1.0, 39=0.5, 40=1.0}	
thats on lycan idiots FailFish	NEGATIVE	NEUTRAL	{15=1.0, 18=0.5606991752724791, 19=1.0, 20=0.5606991752724791, 23=3.0, 25=1.494149414941494, 26=3.0, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 45=1.0, 47=1.0, 49=0.0}	
Harry Potter EleGiggle	POSITIVE	NEUTRAL	{16=2.0, 18=1.0125607266845296, 19=2.0, 22=2.0, 25=1.1274127412741275, 26=2.0, 27=0.5732573257325733, 43=1.0, 46=1.0, 47=1.0, 48=1.0}	
LUL spammers FailFish	NEGATIVE	NEUTRAL	{1=1.0, 3=1.0, 4=1.0, 5=2.0, 6=0.8, 7=0.2, 15=2.0, 18=1.5284033077130454, 19=2.0, 20=0.9270894656051761, 22=2.0, 23=1.0, 24=1.0, 25=2.15971597159716, 26=4.0, 27=0.6082608260826083, 28=0.43974397439743973, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 45=1.0, 47=1.0, 49=0.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8}	
harry potter is cool	POSITIVE	NEUTRAL	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 15=1.0, 16=2.0, 18=1.77732907123247, 19=3.0, 20=0.7647683445479404, 22=3.0, 23=1.0, 25=2.2165216521652167, 26=4.0, 27=0.6006600660066007, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7}	
dats a dick	NEGATIVE	NEUTRAL	{15=1.0, 16=1.0, 18=1.0928327382164098, 19=2.0, 20=0.5556979923744341, 23=3.0, 25=1.5474547454745475, 26=3.0}	
DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame DansGame	NEGATIVE	NEUTRAL	{45=42.0, 47=42.0, 49=0.0}	
gay ro	NEGATIVE	NEUTRAL	{15=2.0, 16=1.0, 18=1.7950285270993689, 19=3.0, 20=0.667104980826048, 22=1.0, 23=2.0, 25=1.5811581158115813, 26=3.0, 27=0.6063606360636065, 50=1.0, 52=1.0, 53=1.0, 54=2.0, 55=0.7, 56=0.3}	
KappaPride 7CKING BEAUTIFUL KappaPride	POSITIVE	NEUTRAL	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 15=6.0, 18=4.17459575147037, 19=6.0, 20=0.8734299091644339, 22=1.0, 23=5.0, 25=3.245024502450245, 26=6.0, 27=0.604860486048605, 29=3.0, 32=3.0, 33=3.0, 34=1.0, 36=3.0, 39=3.0, 40=3.0, 41=1.0, 50=2.0, 53=1.4, 54=2.0, 55=0.7}	
dick Kappa	NEGATIVE	NEUTRAL	{15=2.0, 18=1.1595261805597585, 19=2.0, 20=0.6038281881853245, 23=2.0, 25=1.0176017601760177, 26=2.0}	
CLASSIC ARTSTYLE 4Head	POSITIVE	NEUTRAL	{15=1.0, 18=0.6960117079397218, 19=1.0, 20=0.6960117079397218, 22=1.0, 25=0.6054605460546054, 26=1.0, 27=0.6054605460546054, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0}	
Mad so handsome	POSITIVE	NEUTRAL	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 15=1.0, 16=1.0, 17=1.0, 18=1.4909962202281068, 19=3.0, 20=0.8101916294833211, 21=0.1663814873705002, 22=1.0, 23=1.0, 24=1.0, 25=1.5190519051905191, 26=3.0, 27=0.6400640064006401, 28=0.4043404340434043, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 36=1.0, 37=1.0, 38=1.0, 39=1.5, 40=3.0, 41=1.0, 42=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
she already stolen EleGiggle	POSITIVE	NEUTRAL	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 15=1.0, 18=0.5815897049357109, 19=1.0, 20=0.5815897049357109, 23=2.0, 24=1.0, 25=1.268926892689269, 26=3.0, 28=0.34333433343334335, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
10 games wins streak u know :D	POSITIVE	NEUTRAL	{1=1.0, 4=0.9, 5=1.0, 6=0.9, 15=2.0, 16=1.0, 18=1.8445396876048792, 19=3.0, 20=0.7648013556561783, 22=3.0, 23=4.0, 25=3.7271727172717277, 26=7.0, 27=0.628062806280628, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 37=1.0, 39=0.5, 40=1.0, 50=1.0, 53=0.6, 54=1.0, 55=0.6}	
who is the french gay?	NEGATIVE	NEUTRAL	{15=1.0, 16=2.0, 18=1.695951187574619, 19=3.0, 20=0.667104980826048, 23=5.0, 25=2.5118511851185117, 26=5.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
FAKE DansGame danSgame	NEGATIVE	NEUTRAL	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 17=1.0, 18=0.18704644112743946, 19=1.0, 21=0.18704644112743946, 23=1.0, 25=0.48344834483448346, 26=1.0, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 45=2.0, 47=2.0, 49=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
the *** going on spell icons?	NEGATIVE	NEUTRAL	{15=2.0, 16=1.0, 18=1.743399153815259, 19=3.0, 20=0.6767772355397592, 23=5.0, 25=2.5436543654365438, 26=5.0}	
I miss Pajkatt :(	NEGATIVE	NEUTRAL	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 10=1.0, 12=1.0, 14=0.0, 16=1.0, 17=1.0, 18=0.9050270415994983, 19=2.0, 21=0.39060393822521283, 23=1.0, 24=1.0, 25=0.7932793279327933, 26=2.0, 28=0.3351335133513352, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
PRODUCTION VALUE PogChamp	POSITIVE	NEUTRAL	{15=2.0, 18=1.4745566883256216, 19=2.0, 20=0.8143180180130615, 22=1.0, 23=1.0, 25=1.1201120112011203, 26=2.0, 27=0.5735573557355735, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7}	
French Harry Potter PogChamp	POSITIVE	NEUTRAL	{16=3.0, 18=1.526983830058815, 19=3.0, 22=2.0, 23=1.0, 25=1.6306630663066306, 26=3.0, 27=0.5732573257325733}	
Harry Potter is back PogChamp	POSITIVE	NEUTRAL	{16=3.0, 18=1.493956216266774, 19=3.0, 22=2.0, 23=2.0, 25=2.0875087508750876, 26=4.0, 27=0.5732573257325733, 36=1.0, 39=1.0, 40=1.0, 41=1.0}	
U ARE SUPPOSED TO TAKE TRAIN ON 9 3/4 FailFish	NEGATIVE	NEUTRAL	{15=3.0, 16=3.0, 18=3.3514857749632756, 19=6.0, 20=0.7015080574613358, 22=2.0, 23=6.0, 24=1.0, 25=4.5221522152215226, 26=9.0, 27=0.5675567556755676, 28=0.3854385438543855, 38=1.0, 40=1.0, 42=0.0, 45=1.0, 47=1.0, 49=0.0}	
DansGame HUCK FELENA DansGame	NEGATIVE	NEUTRAL	{16=1.0, 18=0.5144231033742855, 19=1.0, 23=1.0, 25=0.5048504850485049, 26=1.0, 45=2.0, 47=2.0, 49=0.0}	
7ucking Handsome KappaPride	POSITIVE	NEUTRAL	{15=3.0, 16=1.0, 18=2.6491964546069755, 19=4.0, 20=0.8101916294833211, 22=1.0, 23=3.0, 25=2.1634163416341634, 26=4.0, 27=0.6400640064006401, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 36=2.0, 39=2.0, 40=2.0, 41=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7}	
fired FailFish	NEGATIVE	NEUTRAL	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 16=1.0, 18=0.5144231033742855, 19=1.0, 23=1.0, 25=0.4503450345034504, 26=1.0, 45=1.0, 47=1.0, 49=0.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2}	
she looks like invoker	NEGATIVE	NEUTRAL	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 15=1.0, 18=0.8500525426806121, 19=1.0, 20=0.8500525426806121, 23=3.0, 25=1.4596459645964597, 26=3.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7}	
sheever SO fine	POSITIVE	NEUTRAL	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 15=1.0, 16=1.0, 18=1.235215149897941, 19=2.0, 20=0.7207920465236552, 22=1.0, 23=1.0, 25=1.0316031603160316, 26=2.0, 27=0.556955695569557, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 37=1.0, 38=1.0, 39=0.5, 40=2.0, 42=0.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8}	
WTF ARE THOSE GLASSES ?	NEGATIVE	NEUTRAL	{16=2.0, 18=1.028846206748571, 19=2.0, 23=5.0, 24=1.0, 25=2.94989498949895, 26=6.0, 28=0.39793979397939794, 31=1.0, 33=1.0, 35=0.0}	
@polkadot_, All pick is back 4Head	POSITIVE	NEUTRAL	{15=2.0, 16=1.0, 18=1.7549860528067698, 19=3.0, 20=0.63959022210974, 23=4.0, 25=1.9776977697769778, 26=4.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0}	
